Technology,Year,Value,Parameter
Biomass Power Plant,2015,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2015,2165.0,Capital Cost ($/kW)
CSP without Storage,2015,6051.0,Capital Cost ($/kW)
CSP with Storage,2015,8645.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2015,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2015,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2015,3000.0,Capital Cost ($/kW)
Onshore Wind,2015,1985.0,Capital Cost ($/kW)
Offshore Wind,2015,5000.0,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2015,6840.0,Capital Cost ($/kW)
Biomass Power Plant,2020,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2020,1378.0,Capital Cost ($/kW)
CSP without Storage,2020,4058.0,Capital Cost ($/kW)
CSP with Storage,2020,5797.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2020,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2020,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2020,3000.0,Capital Cost ($/kW)
Onshore Wind,2020,1489.0,Capital Cost ($/kW)
Offshore Wind,2020,3972.4,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2020,4320.0,Capital Cost ($/kW)
Biomass Power Plant,2025,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2025,984.0,Capital Cost ($/kW)
CSP without Storage,2025,3269.0,Capital Cost ($/kW)
CSP with Storage,2025,4670.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2025,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2025,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2025,3000.0,Capital Cost ($/kW)
Onshore Wind,2025,1191.0,Capital Cost ($/kW)
Offshore Wind,2025,3020.9,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2025,3415.0,Capital Cost ($/kW)
Biomass Power Plant,2030,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2030,886.0,Capital Cost ($/kW)
CSP without Storage,2030,2634.0,Capital Cost ($/kW)
CSP with Storage,2030,3763.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2030,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2030,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2030,3000.0,Capital Cost ($/kW)
Onshore Wind,2030,1087.0,Capital Cost ($/kW)
Offshore Wind,2030,2450.0,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2030,2700.0,Capital Cost ($/kW)
Biomass Power Plant,2040,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2040,723.0,Capital Cost ($/kW)
CSP without Storage,2040,2562.0,Capital Cost ($/kW)
CSP with Storage,2040,3660.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2040,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2040,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2040,3000.0,Capital Cost ($/kW)
Onshore Wind,2040,933.0,Capital Cost ($/kW)
Offshore Wind,2040,2275.0,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2040,2091.0,Capital Cost ($/kW)
Biomass Power Plant,2050,2500.0,Capital Cost ($/kW)
Solar PV (Utility),2050,723.0,Capital Cost ($/kW)
CSP without Storage,2050,2562.0,Capital Cost ($/kW)
CSP with Storage,2050,3660.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2050,3000.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2050,2500.0,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2050,3000.0,Capital Cost ($/kW)
Onshore Wind,2050,933.0,Capital Cost ($/kW)
Offshore Wind,2050,2100.0,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2050,2091.0,Capital Cost ($/kW)
